iteration,ants_ms,evap_ms,comm_border_ms,comm_migrate_ms,update_ms,total_ms,global_food,total_ants
1797,2.25,0.368339,0.001026,0.00051,0.003163,2.82106,0,5000
1798,2.25038,0.275308,0.001034,0.000443,0.003074,2.72393,0,5000
1799,2.27957,0.291379,0.001016,0.000528,0.003153,2.76265,0,5000
1800,2.29805,0.293603,0.00106,0.000522,0.003198,2.7671,0,5000
1801,2.28701,0.287861,0.001003,0.0005,0.003125,2.74966,0,5000
1802,2.28337,0.296068,0.001112,0.000462,0.00314,2.77174,0,5000
1803,2.26901,0.300264,0.001038,0.000525,0.003129,2.76114,0,5000
1804,2.3014,0.297761,0.000995,0.000506,0.003154,2.77603,0,5000
1805,2.30367,0.303418,0.001038,0.000695,0.003145,2.79109,0,5000
1806,2.30663,0.320138,0.001057,0.000477,0.00329,2.8152,0,5000
1807,2.36372,0.289282,0.001066,0.000515,0.002923,2.8109,0,5000
1808,2.31855,0.276688,0.001053,0.000531,0.003151,2.77367,0,5000
1809,2.30091,0.288364,0.001062,0.000489,0.003166,2.77828,0,5000
1810,2.2996,0.289099,0.001032,0.000544,0.002991,2.78502,0,5000
1811,2.2709,0.274389,0.001034,0.000524,0.003016,2.70971,0,5000
1812,2.24717,0.273296,0.001045,0.000523,0.00308,2.7099,0,5000
1813,2.25952,0.287884,0.001025,0.000473,0.003197,2.742,0,5000
1814,2.27881,0.309772,0.001019,0.000497,0.002847,2.78386,0,5000
1815,2.23487,0.33518,0.001019,0.00057,0.003493,2.73768,0,5000
1816,2.30302,0.286913,0.001052,0.000684,0.002994,2.75257,0,5000
1817,2.32005,0.325716,0.001045,0.000627,0.003533,2.82585,0,5000
1818,2.34131,0.36655,0.001006,0.000502,0.003127,2.89866,0,5000
1819,2.30237,0.322909,0.001049,0.000617,0.003279,2.78793,0,5000
1820,2.30578,0.314115,0.001055,0.000486,0.003099,2.81613,0,5000
1821,2.29693,0.319222,0.001091,0.000502,0.005148,2.81474,0,5000
1822,2.29857,0.389081,0.001206,0.000573,0.003303,2.88927,0,5000
1823,2.36388,0.385003,0.001086,0.000527,0.003202,2.92924,0,5000
1824,2.35211,0.385943,0.001055,0.000506,0.003504,2.92472,0,5000
1825,2.35008,0.367075,0.001109,0.000518,0.003341,2.90277,0,5000
1826,2.34002,0.292128,0.001125,0.00052,0.003172,2.83328,0,5000
1827,2.27998,0.300043,0.001073,0.000511,0.003149,2.77652,0,5000
1828,2.28527,0.295324,0.001005,0.000452,0.003259,2.77704,0,5000
1829,2.26166,0.307424,0.001041,0.000465,0.003185,2.76893,0,5000
